route_id,split
99c94dc769b5d96e|2018-07-03--10-35-30,train
99c94dc769b5d96e|2018-07-03--14-38-26,train
99c94dc769b5d96e|2018-07-04--00-20-19,validation
99c94dc769b5d96e|2018-07-05--10-05-06,train
99c94dc769b5d96e|2018-07-05--16-30-16,train
99c94dc769b5d96e|2018-07-05--19-49-34,test
99c94dc769b5d96e|2018-07-05--20-49-41,train
99c94dc769b5d96e|2018-07-06--01-15-15,test
99c94dc769b5d96e|2018-07-06--09-43-54,validation
99c94dc769b5d96e|2018-07-06--11-17-49,train
99c94dc769b5d96e|2018-07-06--12-32-39,train
99c94dc769b5d96e|2018-07-06--18-18-36,train
