chunk,route_id,segment_id,segment_path,video_path,video_size_bytes,has_raw_log_bz2,has_preview_png,has_frame_times,frame_times_shape,has_frame_positions,frame_positions_shape,has_frame_velocities,frame_velocities_shape,has_frame_orientations,frame_orientations_shape,frame_count,start_time_s,end_time_s,duration_s,estimated_fps,timestamps_monotonic,mean_speed_mps,max_speed_mps,usable,issue,split
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,7,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/7,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/7/video.hevc,37526734,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176056.238668,176116.187839,59.949171,20.000277,True,13.905766,20.197274,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,8,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/8,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/8/video.hevc,37518126,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176116.237831,176176.186999,59.949168,20.000278,True,10.267338,20.246249,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,9,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/9,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/9/video.hevc,37511166,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176176.236981,176236.18615,59.949169,20.000277,True,12.299223,22.188149,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,10,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/10,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/10/video.hevc,37483710,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176236.236148,176296.185335,59.949187,20.000271,True,24.529439,26.256784,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,11,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/11,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/11/video.hevc,37469038,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176296.235303,176356.184455,59.949152,20.000283,True,29.213696,32.686077,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,12,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/12,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/12/video.hevc,37507262,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176356.234453,176416.183608,59.949155,20.000282,True,28.74207,32.608501,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,13,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/13,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/13/video.hevc,37503502,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176416.233616,176476.182784,59.949168,20.000278,True,32.789205,34.38363,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,14,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/14,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/14/video.hevc,37496638,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176476.232772,176536.181948,59.949176,20.000275,True,32.668358,36.994969,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,15,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/15,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/15/video.hevc,37501774,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176536.231922,176596.181088,59.949166,20.000278,True,31.592971,32.444314,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,16,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/16,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/16/video.hevc,37479838,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176596.231103,176656.180245,59.949142,20.000286,True,33.140598,36.242036,True,ok,train
Chunk_7,99c94dc769b5d96e|2018-07-19--15-34-31,17,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/17,Chunk_7/99c94dc769b5d96e|2018-07-19--15-34-31/17/video.hevc,37473534,True,True,True,1200,True,1200x3,True,1200x3,True,1200x4,1200,176656.230258,176716.179402,59.949144,20.000286,True,29.609247,31.015942,True,ok,train
