route_id,split
99c94dc769b5d96e|2018-05-01--08-13-53,train
99c94dc769b5d96e|2018-05-01--10-47-27,train
99c94dc769b5d96e|2018-05-01--11-24-52,train
99c94dc769b5d96e|2018-05-02--11-32-52,train
99c94dc769b5d96e|2018-05-02--11-42-52,validation
99c94dc769b5d96e|2018-05-02--16-01-39,test
99c94dc769b5d96e|2018-05-02--19-07-03,train
99c94dc769b5d96e|2018-05-02--20-07-13,train
99c94dc769b5d96e|2018-05-03--08-13-12,train
99c94dc769b5d96e|2018-05-03--09-25-46,validation
99c94dc769b5d96e|2018-05-05--11-09-01,train
99c94dc769b5d96e|2018-05-05--16-36-30,train
99c94dc769b5d96e|2018-05-12--15-03-33,train
99c94dc769b5d96e|2018-05-12--15-45-29,validation
99c94dc769b5d96e|2018-05-13--12-07-39,test
99c94dc769b5d96e|2018-05-13--20-53-38,train
99c94dc769b5d96e|2018-05-18--10-58-35,train
99c94dc769b5d96e|2018-05-18--16-00-42,train
99c94dc769b5d96e|2018-06-02--21-21-45,train
99c94dc769b5d96e|2018-06-09--19-18-40,train
99c94dc769b5d96e|2018-06-11--17-34-11,test
99c94dc769b5d96e|2018-06-12--00-59-15,train
99c94dc769b5d96e|2018-06-12--18-52-46,train
99c94dc769b5d96e|2018-06-15--19-55-32,train
99c94dc769b5d96e|2018-06-18--21-20-21,train
99c94dc769b5d96e|2018-06-21--18-27-56,train
99c94dc769b5d96e|2018-06-22--20-13-04,validation
99c94dc769b5d96e|2018-06-24--12-20-02,validation
99c94dc769b5d96e|2018-06-24--14-01-30,test
99c94dc769b5d96e|2018-06-24--15-20-06,train
99c94dc769b5d96e|2018-06-25--10-11-05,test
99c94dc769b5d96e|2018-06-25--20-56-44,train
99c94dc769b5d96e|2018-06-25--21-14-19,train
99c94dc769b5d96e|2018-06-25--22-19-02,train
99c94dc769b5d96e|2018-06-27--15-03-44,train
99c94dc769b5d96e|2018-07-02--09-20-11,train
99c94dc769b5d96e|2018-07-02--19-08-27,train
99c94dc769b5d96e|2018-07-03--10-35-30,train
99c94dc769b5d96e|2018-07-03--14-38-26,train
99c94dc769b5d96e|2018-07-04--00-20-19,validation
99c94dc769b5d96e|2018-07-05--10-05-06,train
99c94dc769b5d96e|2018-07-05--16-30-16,train
99c94dc769b5d96e|2018-07-05--19-49-34,test
99c94dc769b5d96e|2018-07-05--20-49-41,train
99c94dc769b5d96e|2018-07-06--01-15-15,test
99c94dc769b5d96e|2018-07-06--09-43-54,validation
99c94dc769b5d96e|2018-07-06--11-17-49,train
99c94dc769b5d96e|2018-07-06--12-32-39,train
99c94dc769b5d96e|2018-07-06--18-18-36,train
99c94dc769b5d96e|2018-07-09--11-25-27,train
99c94dc769b5d96e|2018-07-09--14-08-31,train
99c94dc769b5d96e|2018-07-10--10-01-44,validation
99c94dc769b5d96e|2018-07-10--14-21-51,test
99c94dc769b5d96e|2018-07-11--10-10-11,train
99c94dc769b5d96e|2018-07-11--15-13-12,train
99c94dc769b5d96e|2018-07-11--18-22-01,train
99c94dc769b5d96e|2018-07-12--16-42-23,test
99c94dc769b5d96e|2018-07-12--18-23-15,validation
99c94dc769b5d96e|2018-07-12--22-14-39,train
99c94dc769b5d96e|2018-07-19--15-34-31,train
99c94dc769b5d96e|2018-07-20--10-39-03,train
99c94dc769b5d96e|2018-07-20--16-07-46,train
99c94dc769b5d96e|2018-07-20--16-42-49,train
99c94dc769b5d96e|2018-07-20--16-43-04,test
